season,matchId,homeTeam,awayTeam,homeFT,awayFT,homeHT,awayHT,attend,Column10
0,A1A0101,Liberec,Žižkov,0, 0 ,0,0,5507,
0,A1A0102,Plzeň,Slavia,0, 2 ,0,0,15000,
0,A1A0103,Č.Budějovice,Vítkovice,1, 0 ,0,0,4469,
0,A1A0104,Zlín,Dukla Praha,3, 0 ,1,0,5185,
0,A1A0105,Bohemians,Olomouc,2, 1 ,2,1,3314,
0,A1A0106,Ostrava,H. Králové,3, 0 ,2,0,8900,
0,A1A0107,Sparta,Boby Brno,5, 1 ,3,0,13905,
0,A1A0108,Drnovice,Cheb,2, 1 ,1,0,4150,
0,A1A0201,Žižkov,Cheb,0, 1 ,0,0,4530,
0,A1A0202,Boby Brno,Drnovice,1, 2 ,1,1,14727,
0,A1A0203,H. Králové,Sparta,0, 2 ,0,0,11022,
0,A1A0204,Olomouc,Ostrava,1, 1 ,0,0,5095,
0,A1A0205,Dukla Praha,Bohemians,1, 2 ,1,0,2588,
0,A1A0206,Vítkovice,Zlín,3, 2 ,0,2,2461,
0,A1A0207,Slavia,Č. Budějovice,1, 1 ,1,1,6059,
0,A1A0208,Liberec,Plzeň,0, 0 ,0,0,4220,
0,A1A0301,Plzeň,Žižkov,1, 1 ,1,0,7825,
0,A1A0302,Č.Budějovice,Liberec,2, 1 ,1,1,4982,
0,A1A0303,Zlín,Slavia,0, 1 ,0,1,9620,
0,A1A0304,Bohemians,Vítkovice,1, 1 ,0,0,4701,
0,A1A0305,Ostrava,Dukla Praha,4, 1 ,2,0,5200,
0,A1A0306,Sparta,Olomouc,2, 1 ,0,0,6354,
0,A1A0307,Drnovice,H. Králové,1, 0 ,1,0,4300,
0,A1A0308,Cheb,Boby Brno,1, 1 ,0,0,3117,
0,A1A0401,Žižkov,Boby Brno,2, 1 ,1,0,5554,
0,A1A0402,H. Králové,Cheb,1, 3 ,0,0,3681,
0,A1A0403,Olomouc,Drnovice,3, 0 ,0,0,10565,
0,A1A0404,Dukla Praha,Sparta,2, 6 ,0,4,4861,
0,A1A0405,Vítkovice,Ostrava,1, 3 ,0,1,7650,
0,A1A0406,Slavia,Bohemians,2, 3 ,2,2,10200,
0,A1A0407,Liberec,Zlín,1, 1 ,1,1,4000,
0,A1A0408,Plzeň,Č. Budějovice,2, 2 ,2,1,4547,
0,A1A0501,Č.Budějovice,Žižkov,1, 0 ,0,0,5779,
0,A1A0502,Zlín,Plzeň,1, 0 ,1,0,5031,
0,A1A0503,Bohemians,Liberec,2, 0 ,1,0,5529,
0,A1A0504,Ostrava,Slavia,1, 2 ,1,1,11536,
0,A1A0505,Sparta,Vítkovice,4, 0 ,2,0,5669,
0,A1A0506,Drnovice,Dukla Praha,4, 0 ,1,0,3835,
0,A1A0507,Cheb,Olomouc,0, 1 ,0,1,3416,
0,A1A0508,Boby Brno,H. Králové,2, 1 ,1,0,8517,
0,A1A0601,Žižkov,H. Králové,1, 0 ,1,0,6100,
0,A1A0602,Olomouc,Boby Brno,0, 3 ,0,1,8013,
0,A1A0603,Dukla Praha,Cheb,1, 2 ,1,0,938,
0,A1A0604,Vítkovice,Drnovice,1, 1 ,1,0,3500,
0,A1A0605,Slavia,Sparta,1, 1 ,1,0,8380,
0,A1A0606,Liberec,Ostrava,0, 0 ,0,0,5259,
0,A1A0607,Plzeň,Bohemians,3, 2 ,1,1,5678,
0,A1A0608,Č.Budějovice,Zlín,1, 0 ,1,0,5050,
0,A1A0701,Zlín,Žižkov,1, 0 ,1,0,4153,
0,A1A0702,Bohemians,Č. Budějovice,1, 1 ,0,0,4223,
0,A1A0703,Ostrava,Plzeň,2, 1 ,1,1,2905,
0,A1A0704,Sparta,Liberec,2, 0 ,2,0,6131,
0,A1A0705,Drnovice,Slavia,2, 2 ,2,2,5541,
0,A1A0706,Cheb,Vítkovice,2, 1 ,0,0,2870,
0,A1A0707,Boby Brno,Dukla Praha,2, 2 ,0,0,10611,
0,A1A0708,H. Králové,Olomouc,1, 0 ,1,0,2437,
0,A1A0801,Žižkov,Olomouc,2, 2 ,0,0,5200,
0,A1A0802,Dukla Praha,H. Králové,1, 1 ,1,1,1240,
0,A1A0803,Vítkovice,Boby Brno,0, 2 ,0,2,2542,
0,A1A0804,Slavia,Cheb,4, 0 ,2,0,4815,
0,A1A0805,Liberec,Drnovice,4, 2 ,0,2,5013,
0,A1A0806,Plzeň,Sparta,2, 4 ,1,1,11178,
0,A1A0807,Č.Budějovice,Ostrava,0, 0 ,0,0,6343,
0,A1A0808,Zlín,Bohemians,4, 1 ,2,1,4353,
0,A1A0901,Bohemians,Žižkov,2, 1 ,0,1,8675,
0,A1A0902,Ostrava,Zlín,0, 0 ,0,0,4950,
0,A1A0903,Sparta,Č. Budějovice,0, 1 ,0,0,8162,
0,A1A0904,Drnovice,Plzeň,3, 0 ,0,0,2956,
0,A1A0905,Cheb,Liberec,0, 1 ,0,1,2807,
0,A1A0906,Boby Brno,Slavia,2, 1 ,1,1,23111,
0,A1A0907,H. Králové,Vítkovice,2, 2 ,0,1,2451,
0,A1A0908,Olomouc,Dukla Praha,1, 0 ,0,0,5523,
0,A1A1001,Žižkov,Dukla Praha,7, 0 ,1,0,4800,
